community_id,size,avg_degree,top_node,top_node_degree
33,3698,2.05,18929686,3540
12,3342,2.41,17329432,689
1,1656,2.23,21304480,204
51,1556,2.17,15172999,242
17,1416,2.36,18171295,108
10,1268,2.3,21471066,922
14,1213,2.29,20820972,74
131,1203,2.18,18946066,279
45,1117,2.21,17406317,351
130,1073,2.06,23245607,778
13,1001,2.16,21633179,246
18,944,2.23,10549292,157
48,944,2.13,17140455,194
310,840,2.14,22684106,117
28,834,2.25,16477032,208
144,833,2.22,18469831,75
133,807,2.19,20154733,105
41,801,2.27,22113526,140
4,793,2.22,20231323,92
86,787,2.22,15845877,206
286,756,2.19,17463246,405
298,729,2.19,24892770,126
269,710,2.09,18765803,137
63,701,2.16,18180395,237
603,700,2.09,25171403,203
80,647,2.09,21527027,332
227,642,2.17,18473654,133
656,626,2.04,19356713,522
275,621,2.07,18202660,187
35,611,2.16,24217521,53
121,608,2.13,18923076,122
0,605,2.14,20472939,74
1610,600,2.01,10556321,601
279,586,2.1,17616579,76
108,582,2.18,12631061,65
196,561,2.11,16622828,86
96,556,2.06,19665977,102
283,541,2.11,21802619,174
56,531,2.22,20034618,49
865,520,2.01,24316715,470
258,517,2.05,11076791,187
219,517,2.13,22649266,88
371,514,2.13,18560002,80
295,503,2.14,22660318,126
213,500,2.06,21145350,68
358,495,2.13,20981101,172
533,493,2.18,19047324,35
758,491,2.1,20887954,289
64,489,2.11,23630272,74
192,459,2.17,10677535,78
150,459,2.12,17895982,70
429,458,2.11,19926034,106
1115,457,2.03,25417114,433
455,446,2.09,21659004,106
307,445,2.13,12573379,146
294,442,2.17,19470939,104
27,435,2.12,17252887,29
72,434,2.2,16651510,105
263,433,2.11,23899564,67
30,429,2.1,16054062,130
185,429,2.08,19125888,59
143,427,2.06,21343387,61
311,426,2.13,19571279,218
69,426,2.07,22328973,59
442,421,2.05,19561607,102
231,420,2.11,20386735,66
365,418,2.11,23312281,98
125,416,2.12,15876624,116
282,411,2.19,22448344,83
160,406,2.14,19764883,40
412,406,2.14,15338462,44
109,402,2.08,15927967,65
1074,395,2.14,16407106,163
494,387,2.09,23770565,67
445,377,2.17,16835426,102
265,369,2.07,15313941,84
381,363,2.22,20848482,46
319,360,2.11,23758995,46
563,360,2.17,25129147,75
222,356,2.12,20671243,45
270,349,2.13,17332414,50
193,347,2.07,20727968,107
92,345,2.05,22588767,104
318,342,2.17,18815314,84
362,331,2.14,12825775,100
139,330,2.13,15343421,134
827,329,2.09,16814729,125
168,328,2.04,22214755,45
26,321,2.22,17032986,73
197,321,2.14,16763205,32
38,313,2.04,15509817,85
98,308,2.06,12855591,40
141,308,2.13,18794853,62
228,302,2.17,23663781,97
42,300,2.06,17878149,79
134,298,2.07,11955534,41
404,294,2.07,22698406,135
114,292,2.18,16413480,149
1246,290,2.08,20819927,192
476,282,2.2,24388332,48
191,281,2.02,22279555,33
259,280,2.11,15631989,63
112,275,2.04,15548661,51
34,275,2.07,25313054,82
59,272,2.05,12432047,66
239,265,2.06,17003475,28
83,264,2.07,24859528,63
190,259,2.12,8988165,67
85,258,2.06,10330192,64
159,257,2.08,18415652,68
126,253,2.31,15176478,37
526,253,2.1,23762245,89
187,252,2.21,15131149,52
401,242,2.05,18946062,39
81,240,2.08,23979164,35
84,238,2.09,20041210,88
888,233,2.03,15601964,57
180,229,2.14,20172911,132
338,229,2.14,20727790,54
337,229,2.03,16469926,81
70,224,2.27,20516417,45
166,223,2.12,22094370,33
567,223,2.08,10666429,59
115,219,2.06,18293091,53
250,214,2.16,15998894,39
328,212,2.07,12362007,44
120,211,2.12,16447289,27
501,210,2.1,18959790,69
457,202,2.1,11435451,46
264,200,2.15,24874954,40
448,199,2.14,9133425,33
138,193,2.12,21696995,60
74,191,2.06,16421365,46
374,191,2.1,24291279,56
375,189,2.02,24304775,110
351,188,2.12,21850668,25
689,187,2.07,21377034,32
62,173,2.03,21917867,33
209,168,2.06,19329561,95
386,165,2.05,19096044,52
43,165,2.15,22968706,36
