,size
32,3677
11,3307
0,1607
42,1503
14,1431
50,1377
9,1299
177,1251
45,1099
128,1073
46,999
85,942
17,923
129,892
140,883
27,849
306,840
62,829
87,799
12,779
132,750
99,743
268,710
63,701
156,693
109,647
652,626
273,623
1600,619
261,614
3,597
191,572
131,559
81,558
36,555
356,552
97,552
55,525
859,520
256,517
367,514
277,511
143,509
292,509
226,507
303,506
64,505
69,501
372,494
752,491
322,485
284,461
348,461
376,448
452,446
291,442
492,437
217,437
152,436
34,436
264,435
524,435
424,430
29,429
184,429
307,426
13,422
116,412
280,411
221,407
113,401
193,401
276,401
335,400
212,400
58,398
48,396
72,391
262,391
238,389
249,384
60,382
133,379
208,379
110,378
441,377
192,374
396,370
314,350
124,342
41,337
479,321
26,321
454,314
33,313
93,313
158,311
562,308
149,302
449,299
190,297
115,292
35,284
179,282
83,264
406,264
474,262
138,260
189,259
117,254
525,253
186,252
39,249
563,248
86,246
196,240
263,239
84,238
237,234
882,233
334,229
70,224
80,222
325,212
164,211
120,211
499,210
444,199
315,197
1148,197
137,193
142,189
685,187
169,187
74,174
438,166
43,165
419,165
381,165
349,164
257,163
229,148
561,144
461,140
568,136
657,135
1790,132
638,125
595,121
594,118
794,114
432,113
532,105
1843,85
833,85
639,84
321,84
691,75
188,73
435,69
3909,69
37,67
557,66
302,61
696,60
20,60
2343,59
905,58
701,55
620,52
1661,50
579,49
362,46
341,45
748,44
2926,44
468,44
1226,43
1215,42
1376,41
418,39
3057,39
3176,38
401,37
71,37
1547,37
1670,36
539,36
782,36
793,36
3553,35
2431,34
31,34
2508,34
2166,34
1606,34
480,33
1920,33
2698,33
1800,32
274,32
1766,31
6,31
995,31
1854,30
3146,30
3801,30
663,30
2027,30
1415,30
351,28
2293,27
197,27
1192,27
1452,27
2976,27
2096,27
1683,27
850,27
3341,26
1025,26
352,26
1689,26
2590,26
1332,25
2430,25
2048,25
1998,25
2097,25
102,25
2552,25
450,25
723,25
2211,25
198,24
2098,24
1404,24
1312,24
4016,24
101,24
2102,24
969,24
767,24
1884,24
1140,24
3256,24
1813,24
1145,24
858,23
1850,23
1837,23
1387,23
1845,23
1797,23
3689,23
2157,23
796,23
1745,23
1697,22
1394,22
3563,22
420,22
3863,22
2998,22
1468,22
1319,22
1200,22
719,22
2644,21
1001,21
936,21
863,21
275,21
847,21
1421,21
2394,21
1208,21
1432,21
623,21
338,21
1938,20
96,20
281,20
127,20
2676,20
2803,20
2753,20
1700,20
1944,20
2333,20
1924,20
1009,20
2977,20
350,20
927,20
1053,20
1433,20
1170,20
3691,20
2623,20
3785,19
1611,19
1572,19
294,19
1496,19
2946,19
1511,19
2649,19
3038,19
2596,19
1696,19
835,19
3990,19
1320,19
355,19
1952,19
2992,19
598,19
3516,19
206,19
1225,19
1844,18
1033,18
312,18
3007,18
3514,18
979,18
966,18
1619,18
895,18
1586,18
1735,18
1409,18
3729,18
3172,18
2408,18
3003,18
3180,18
588,18
1960,18
2074,18
1382,18
1178,18
1630,18
597,18
3455,17
3134,17
2834,17
1674,17
1484,17
459,17
354,17
1917,17
3440,17
544,17
1799,17
1807,17
493,17
1336,17
3363,17
1037,17
1648,17
3048,17
2723,17
44,17
471,17
1216,17
822,17
2872,17
811,17
666,17
3831,17
937,17
473,17
1061,17
722,17
426,17
1232,16
898,16
1519,16
2140,16
3184,16
2114,16
543,16
1528,16
1896,16
309,16
2986,16
820,16
1928,16
3036,16
3049,16
3853,16
391,16
2204,16
3680,16
1049,16
522,16
2960,16
3926,16
1101,16
279,16
1114,15
1552,15
1158,15
1358,15
2559,15
1626,15
4076,15
1959,15
1994,15
3956,15
1056,15
894,15
1385,15
2617,15
2359,15
2579,15
683,15
3788,15
375,15
1437,15
955,15
2771,15
3584,15
919,15
2886,15
1658,15
1904,15
3345,15
1023,15
1242,15
402,14
2177,14
1347,14
1767,14
2031,14
1962,14
1539,14
1480,14
1534,14
1889,14
943,14
378,14
2648,14
2662,14
924,14
2807,14
437,14
2261,14
163,14
953,14
841,14
3964,14
3943,14
3719,14
3791,14
388,14
3103,14
531,14
3694,14
3592,14
1667,14
4108,14
582,14
592,14
784,14
3271,14
837,14
3860,14
3335,14
216,14
1057,14
1521,14
3770,14
3366,14
1171,13
2514,13
1764,13
690,13
944,13
676,13
2248,13
1233,13
2190,13
4131,13
1329,13
456,13
1362,13
2731,13
135,13
90,13
293,13
181,13
447,13
49,13
269,13
429,13
3061,13
2527,13
917,13
711,13
1472,13
1115,13
3903,13
3715,13
1974,13
2855,13
580,13
3816,13
1915,13
3569,13
1438,13
1941,13
1479,13
3629,13
2907,13
2971,13
817,13
3428,13
1371,13
3923,13
3601,13
3158,13
3664,12
2811,12
2819,12
4095,12
766,12
4107,12
2641,12
3763,12
740,12
51,12
3895,12
330,12
4106,12
3406,12
3276,12
554,12
2707,12
3159,12
105,12
3479,12
139,12
469,12
3282,12
2704,12
3244,12
3302,12
3452,12
3812,12
487,12
2226,12
3813,12
415,12
1956,12
1991,12
3717,12
2107,12
1096,12
2146,12
1044,12
600,12
1377,12
2216,12
1491,12
2238,12
290,12
2329,12
1558,12
1339,12
1334,12
3888,12
1631,12
304,12
3840,12
481,12
3879,12
1954,12
233,12
940,12
67,11
183,11
946,11
872,11
416,11
3623,11
2358,11
2737,11
4046,11
3646,11
1004,11
3654,11
2604,11
942,11
989,11
2629,11
4078,11
2635,11
2682,11
2220,11
869,11
2873,11
224,11
2088,11
1124,11
2185,11
2846,11
1391,11
2067,11
2481,11
2877,11
689,11
344,11
3460,11
234,11
3021,11
1834,11
2994,11
1909,11
1861,11
1881,11
512,11
272,11
3417,11
4074,11
445,11
826,11
1576,11
3711,11
667,11
1477,11
777,11
1550,11
486,11
108,11
649,11
3155,11
1235,11
1418,11
308,10
3854,10
2297,10
1532,10
1503,10
3891,10
1459,10
1449,10
1885,10
336,10
2272,10
3395,10
3211,10
3197,10
3195,10
3384,10
3120,10
3069,10
3054,10
2999,10
88,10
1685,10
3467,10
300,10
3687,10
1719,10
3811,10
155,10
712,10
567,10
3317,10
746,10
2198,10
2162,10
2155,10
3685,10
2138,10
3690,10
3699,10
2077,10
2058,10
57,10
3726,10
2011,10
2206,10
3759,10
278,10
283,10
2852,10
3754,10
3647,10
1139,10
1128,10
3973,10
374,10
1029,10
408,10
1218,10
1045,10
952,10
3952,10
1373,10
3934,10
4017,10
4002,10
1338,10
19,10
4067,10
1205,10
4060,10
875,10
1113,10
2833,10
856,10
862,10
929,10
958,10
2352,10
2694,10
2678,10
1068,10
3534,10
2634,10
2633,10
3558,10
2565,10
2505,10
2441,10
2535,10
2321,10
1160,10
3968,10
3955,10
2309,10
387,10
1091,10
1392,10
166,10
2057,9
2459,9
2866,9
1599,9
54,9
1116,9
1108,9
1996,9
1995,9
231,9
3472,9
2985,9
2076,9
1982,9
2925,9
1100,9
1610,9
628,9
10,9
2832,9
2499,9
2780,9
2018,9
3020,9
747,9
2948,9
3712,9
1118,9
880,9
2954,9
1948,9
1932,9
2796,9
1227,9
3695,9
3153,9
2381,9
608,9
2134,9
370,9
2139,9
463,9
714,9
2150,9
1064,9
3871,9
3492,9
3868,9
1541,9
1578,9
3599,9
503,9
3589,9
2546,9
2743,9
528,9
4160,9
2173,9
2750,9
3673,9
2511,9
1287,9
134,9
816,9
1656,9
2368,9
3005,9
1874,9
1305,9
1824,9
326,9
1310,9
3520,9
2433,9
2712,9
680,9
1494,9
681,9
2656,9
3432,9
3216,9
214,9
174,9
2245,9
3042,9
3044,9
2281,9
2284,9
3550,9
855,9
1461,9
993,9
992,9
2632,9
3554,9
1447,9
4080,9
3636,9
1883,9
1024,9
3562,9
470,9
1714,9
2310,9
1443,9
2589,9
1750,8
2323,8
3805,8
3191,8
1733,8
641,8
2314,8
1709,8
2223,8
1702,8
821,8
3298,8
209,8
2044,8
2013,8
3778,8
3786,8
2339,8
446,8
1762,8
637,8
1785,8
3205,8
3792,8
3207,8
1808,8
633,8
2227,8
1761,8
3388,8
4012,8
2002,8
3727,8
1671,8
2069,8
3951,8
3610,8
3615,8
2362,8
3841,8
3160,8
885,8
3827,8
3733,8
1644,8
1642,8
3148,8
4155,8
3149,8
2426,8
3832,8
2257,8
2325,8
3669,8
1853,8
3350,8
804,8
1878,8
1880,8
2153,8
1937,8
4128,8
235,8
3278,8
2089,8
3735,8
1990,8
2436,8
1758,8
1288,8
1427,8
2474,8
2547,8
715,8
2578,8
3720,8
3072,8
2792,8
3881,8
2793,8
1240,8
146,8
2821,8
2822,8
1199,8
1123,8
2469,8
2845,8
3097,8
2746,8
2567,8
4062,8
578,8
3089,8
425,8
3119,8
2574,8
2536,8
1460,8
3127,8
3084,8
2571,8
75,8
1093,8
4,8
700,8
1337,8
1008,8
2653,8
2657,8
1363,8
2679,8
3027,8
1026,8
3914,8
2710,8
126,8
405,8
1299,8
2853,8
1293,8
2647,8
2749,8
1414,8
1146,8
1103,8
2701,8
1104,8
2917,8
4007,8
4008,8
3466,8
1144,8
2900,8
1255,8
2777,8
1275,8
1174,8
2744,7
507,7
2488,7
1535,7
3622,7
2383,7
2212,7
2715,7
1331,7
2273,7
3883,7
2660,7
1782,7
2671,7
3933,7
1786,7
2700,7
1803,7
3662,7
3604,7
1649,7
2545,7
1531,7
2598,7
1341,7
1699,7
2549,7
2588,7
1429,7
3823,7
3886,7
1441,7
2303,7
2222,7
2528,7
636,7
2194,7
1304,7
1324,7
2376,7
3784,7
1309,7
3655,7
145,7
1650,7
3231,7
4081,7
3288,7
878,7
4034,7
2939,7
4072,7
3200,7
846,7
973,7
4092,7
3067,7
914,7
3015,7
3074,7
708,7
3065,7
3004,7
3818,7
881,7
422,7
2249,7
436,7
2520,7
3867,7
2640,7
3164,7
3114,7
3436,7
4049,7
515,7
529,7
3329,7
994,7
824,7
516,7
3343,7
2993,7
726,7
725,7
2927,7
2555,7
2420,7
2337,7
3714,7
2160,7
1261,7
2783,7
2391,7
3836,7
2113,7
180,7
1549,7
2456,7
25,7
3997,7
2071,7
153,7
1163,7
1594,7
2477,7
3845,7
2062,7
392,7
1251,7
1935,7
605,7
1229,7
2558,7
3502,7
2813,7
1927,7
1223,7
1280,7
2805,7
1926,7
2801,7
1270,7
2169,7
1272,7
2118,7
2794,7
4161,7
2126,7
2127,7
3688,7
1575,7
686,7
2040,7
3546,7
3639,7
3806,7
1402,7
3804,7
2626,7
3621,7
1499,7
1727,7
2278,7
2186,7
2361,7
1379,7
1501,7
2613,7
1428,7
2655,7
2351,7
2901,7
346,7
2650,7
1289,7
1195,7
2465,7
1210,7
1972,7
2095,7
2183,7
625,7
1955,7
1196,7
624,7
611,7
3705,7
3737,7
2405,7
3474,7
1966,7
3480,7
305,7
3483,7
2972,6
3752,6
1059,6
1253,6
3732,6
2770,6
756,6
2773,6
2117,6
3509,6
1157,6
1237,6
4119,6
550,6
1066,6
3469,6
2817,6
3295,6
477,6
4113,6
1106,6
2942,6
4186,6
3704,6
1086,6
3494,6
1254,6
3744,6
764,6
494,6
2119,6
1099,6
1238,6
4188,6
417,6
1936,6
3627,6
3574,6
1691,6
2543,6
2517,6
4054,6
185,6
1684,6
871,6
3377,6
1676,6
644,6
421,6
288,6
1967,6
1698,6
2531,6
1243,6
1931,6
2974,6
3292,6
1168,6
2108,6
2110,6
3337,6
2870,6
1707,6
1166,6
2790,6
3612,6
3930,6
213,6
2538,6
3739,6
801,6
2835,6
1034,6
1322,6
2719,6
478,6
803,6
3522,6
1316,6
3316,6
1893,6
1716,6
2728,6
1035,6
2156,6
2905,6
799,6
2909,6
1298,6
2732,6
2012,6
3723,6
3307,6
2136,6
151,6
4122,6
3696,6
103,6
555,6
3465,6
3512,6
59,6
2007,6
1276,6
521,6
2903,6
2030,6
1204,6
2932,6
219,6
2849,6
1224,6
2802,6
1985,6
1180,6
4021,6
1077,6
1177,6
3710,6
2936,6
154,6
1188,6
1978,6
2080,6
2961,6
1303,6
2043,6
2734,6
1121,6
1300,6
1887,6
3762,6
1136,6
1890,6
157,6
228,6
2152,6
2892,6
2988,6
1923,6
755,6
3086,6
1919,6
3080,6
514,6
3772,6
806,6
3938,6
1335,6
1856,6
3352,6
2705,6
3018,6
3019,6
3421,6
3774,6
210,6
677,6
1017,6
3028,6
360,6
4170,6
3217,6
828,6
125,6
1010,6
3210,6
2645,6
2665,6
675,6
1816,6
1820,6
2233,6
2236,6
411,6
1809,6
265,6
1806,6
814,6
2201,6
3779,6
3361,6
1444,6
848,6
343,6
3201,6
3796,6
4097,6
3051,6
3907,6
3648,6
840,6
4045,6
3912,6
2580,6
122,6
987,6
2268,6
2667,6
2603,6
2244,6
2246,6
3132,6
3552,6
3555,6
2263,6
2265,6
1774,6
2605,6
1781,6
3797,6
990,6
4158,6
78,6
455,6
671,6
1828,6
2432,6
1669,6
2582,6
3379,6
472,6
475,6
3855,6
3387,6
642,6
3136,6
1587,6
1625,6
3137,6
2393,6
2419,6
3078,6
327,6
3838,6
4090,6
1458,6
1743,6
2661,6
3645,6
3564,6
853,6
2164,6
3566,6
2294,6
4175,6
2560,6
2556,6
861,6
1482,6
3147,6
3188,6
2401,6
3121,6
1651,6
3161,6
3123,6
928,6
1645,6
3391,6
721,6
1635,6
2387,6
4151,6
1538,6
2402,6
1749,6
1752,6
4129,6
3122,6
1567,6
2392,6
3869,6
3844,6
199,6
3842,6
2409,6
2390,6
2388,6
1660,6
2479,6
3585,6
889,6
3619,6
1604,6
1006,5
22,5
3034,5
3416,5
3438,5
1365,5
1411,5
353,5
1386,5
2982,5
3138,5
1065,5
4041,5
2636,5
3045,5
3716,5
3966,5
2775,5
2767,5
1079,5
1075,5
2610,5
2622,5
1182,5
4184,5
999,5
3047,5
3913,5
2799,5
3439,5
3548,5
2621,5
2611,5
3974,5
1073,5
1410,5
1364,5
1412,5
4027,5
2616,5
2612,5
2789,5
3897,5
1395,5
2631,5
660,5
1189,5
513,5
1493,5
3415,5
553,5
2568,5
4052,5
2838,5
3537,5
3056,5
333,5
1213,5
1440,5
1212,5
3410,5
1448,5
1579,5
2825,5
2551,5
1190,5
4142,5
2683,5
2628,5
1266,5
3915,5
2809,5
1359,5
3496,5
2816,5
4047,5
574,5
3985,5
3484,5
2563,5
2561,5
2940,5
3404,5
2685,5
2554,5
3513,5
3924,5
2713,5
2434,5
930,5
2512,5
3095,5
957,5
706,5
1502,5
1176,5
2751,5
576,5
2708,5
1027,5
3096,5
4053,5
2869,5
136,5
1052,5
3880,5
2522,5
1513,5
951,5
1107,5
913,5
2506,5
1524,5
2586,5
2745,5
2407,5
320,5
1522,5
948,5
3847,5
693,5
1028,5
3939,5
2878,5
3580,5
319,5
3526,5
2908,5
1030,5
4139,5
4130,5
2519,5
911,5
2916,5
4011,5
1556,5
1122,5
1047,5
1537,5
2735,5
2413,5
3940,5
3459,5
1295,5
1559,5
2911,5
1542,5
1545,5
1120,5
407,5
935,5
3001,5
533,5
1119,5
2891,5
3850,5
2726,5
1325,5
2460,5
3125,5
3949,5
3126,5
3521,5
28,5
2453,5
73,5
2897,5
2440,5
2439,5
1125,5
1573,5
1038,5
2896,5
922,5
2729,5
1354,5
1869,5
4033,5
1872,5
788,5
3692,5
2229,5
3252,5
791,5
3789,5
3280,5
602,5
3731,5
2341,5
2345,5
2377,5
2047,5
586,5
1981,5
1675,5
901,5
3613,5
1983,5
2234,5
2125,5
830,5
3318,5
3215,5
2144,5
2142,5
2266,5
1780,5
609,5
3698,5
1784,5
501,5
786,5
448,5
785,5
2247,5
246,5
2315,5
453,5
831,5
2241,5
227,5
2374,5
495,5
1616,5
2403,5
2086,5
584,5
2380,5
4125,5
467,5
1641,5
1615,5
3382,5
4069,5
285,5
2082,5
1976,5
2041,5
3150,5
2332,5
2330,5
2990,5
2064,5
1693,5
3322,5
2050,5
2373,5
888,5
3305,5
2364,5
1988,5
431,5
3309,5
621,5
2370,5
2327,5
890,5
3173,5
3708,5
1614,5
286,5
3286,5
3381,5
3843,5
1897,5
1655,5
1863,5
3634,5
728,5
3800,5
3365,5
2280,5
527,5
3364,5
1765,5
2275,5
2274,5
2271,5
1930,5
2270,5
1929,5
2104,5
3799,5
3802,5
2101,5
867,5
1710,5
3333,5
1754,5
1753,5
1465,5
3899,5
3766,5
535,5
976,5
975,5
167,5
3486,5
974,5
2755,5
610,5
2039,5
4137,5
3272,5
1746,5
1748,5
240,5
3701,5
3748,5
1711,5
1942,5
3742,5
1925,5
3761,5
250,5
732,5
498,5
497,5
797,5
259,5
3243,5
3223,5
2193,5
2184,5
812,5
3241,5
1851,5
3765,5
1875,5
3370,5
3674,5
1862,5
1826,5
4168,5
3257,5
3638,5
1957,5
1718,5
3339,5
772,5
773,5
3332,5
3367,5
3703,5
1950,5
4112,5
1949,5
4089,5
91,5
1744,5
3807,5
3641,5
2299,5
1609,4
4154,4
1062,4
3866,4
1060,4
3829,4
1637,4
3828,4
1131,4
4013,4
1607,4
299,4
1647,4
1621,4
1063,4
654,4
1067,4
1623,4
1560,4
